sku,product_description,hs_code,product_category,supplier_name,supplier_country,country_of_origin_coo,incoterm,base_price_usd,freight_usd,insurance_percent,fx_rate,volume_units,bcd_percent,igst_percent,additional_duty_percent,fta_eligibility,fta_reduction_percent,lead_time_days,target_margin_percent,annual_revenue_usd,annual_duty_paid_usd
SKU-LI-001,Lithium-ion Battery,850760,EV Components,CATL,China,China,CIF,120.0,2.0,1.2,83.2,1000,15.0,18,10,No,50,18,25,500000,50000
SKU-SOL-002,Solar Panel (250W),854140,Renewable Energy,Trina Solar,China,China,DAP,150.0,5.0,1.0,83.2,800,7.5,18,5,Yes,40,25,30,450000,25000
SKU-MEM-003,DDR4 16GB RAM,847330,Computer Components,Samsung,South Korea,South Korea,FOB,45.0,1.5,0.8,83.2,2500,0.0,18,0,No,0,14,20,200000,0
SKU-IND-004,Industrial Robot Arm,847950,Automation,FANUC,Japan,Japan,CIF,25000.0,500.0,2.0,83.2,10,10.0,18,0,No,0,45,35,1200000,120000
SKU-MED-005,Surgical Mask (N95),630790,Medical Supplies,3M,USA,USA,EXW,0.5,0.1,0.5,83.2,50000,10.0,18,0,No,0,7,40,25000,2500
SKU-CHEM-006,Acetic Acid,291521,Chemicals,BASF,Germany,Germany,CPT,2.5,0.2,1.5,83.2,10000,10.0,18,5,Yes,25,30,15,300000,30000
SKU-CON-007,Cement (50kg bag),252329,Construction,LafargeHolcim,Switzerland,Switzerland,FOB,5.0,0.5,0.7,83.2,20000,20.0,18,15,No,0,20,22,500000,100000
SKU-AUTO-008,Car Alternator,851130,Automotive,Bosch,Germany,China,CIF,75.0,3.0,1.0,83.2,1500,15.0,18,0,No,0,12,28,400000,60000
SKU-TEX-009,Cotton Fabric,520811,Textiles,Vardhman,India,India,EXW,10.0,0.8,0.6,83.2,10000,0.0,12,0,No,0,5,35,150000,0
SKU-AGRI-010,Wheat Seeds,100199,Agriculture,Monsanto,USA,USA,FOB,0.2,0.05,0.3,83.2,500000,10.0,5,0,No,0,25,18,100000,10000
SKU-PHARM-011,Paracetamol Tablet,300490,Pharmaceuticals,Sun Pharma,India,India,CPT,0.05,0.01,0.1,83.2,1000000,0.0,12,0,No,0,10,50,80000,0
SKU-ELEC-012,High Voltage Transformer,850422,Electrical,Siemens,Germany,Germany,CIF,150000.0,2000.0,2.5,83.2,1,7.5,18,0,Yes,20,60,30,5000000,375000
